SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
305021117,Morningside - Seven Hills,3001,Brisbane,6.5228870422
305021118,Norman Park,3001,Brisbane,2.2539966742
305031119,Albion,3001,Brisbane,1.5046900745
305031120,Alderley,3001,Brisbane,2.4838858116
305031121,Ascot,3001,Brisbane,2.4610415220
305031122,Clayfield,3001,Brisbane,2.9260485843
305031123,Grange,3001,Brisbane,1.8104294355
305031124,Hamilton (Qld),3001,Brisbane,1.6387755859
305031125,Hendra,3001,Brisbane,2.6916878721
305031126,Kelvin Grove - Herston,3001,Brisbane,3.3738436404
305031127,Newmarket,3001,Brisbane,1.6534085667
305031128,Newstead - Bowen Hills,3001,Brisbane,2.9992064014
305031129,Wilston,3001,Brisbane,1.3863633342
305031130,Windsor,3001,Brisbane,2.9275742046
305031131,Wooloowin - Lutwyche,3001,Brisbane,3.0881198334
305041132,Ashgrove,3001,Brisbane,6.5141102223
305041133,Auchenflower,3001,Brisbane,1.2702600025
305041134,Bardon,3001,Brisbane,4.6649005532
305041135,Paddington - Milton,3001,Brisbane,3.5930703940
305041136,Red Hill (Qld),3001,Brisbane,1.6953228271
305041137,Toowong,3001,Brisbane,3.8820389713
306011138,Brinsmead,3003,Cairns,5.1183059652
306011139,Clifton Beach - Kewarra Beach,3003,Cairns,37.4675039480
306011140,Freshwater - Stratford,3003,Cairns,15.1181828257
306011141,Redlynch,3003,Cairns,59.4243292808
306011142,Trinity Beach - Smithfield,3003,Cairns,22.3745020278
306011143,Yorkeys Knob - Machans Beach,3003,Cairns,21.0046757423
306021144,Bentley Park,3003,Cairns,6.9043648593
306021145,Cairns City,3003,Cairns,6.1989147859
306021146,Earlville - Bayview Heights,3003,Cairns,7.8617372946
306021147,Edmonton,3003,Cairns,19.9948225656
306021148,Gordonvale - Trinity,3000,Not in any Significant Urban Area (Qld),326.9491776707
306021149,Kanimbla - Mooroobool,3003,Cairns,7.6819418246
306021150,Lamb Range,3000,Not in any Significant Urban Area (Qld),212.6263939442
306021151,Manoora,3003,Cairns,2.2319438562
306021152,Manunda,3003,Cairns,4.2457512723
306021153,Mount Sheridan,3003,Cairns,6.7390252599
306021154,Westcourt - Bungalow,3003,Cairns,9.7311794597
306021155,White Rock,3003,Cairns,9.5279347470
306021156,Whitfield - Edge Hill,3003,Cairns,6.9258716336
306021157,Woree,3003,Cairns,5.7348114928
306031158,Babinda,3000,Not in any Significant Urban Area (Qld),668.8453103056
306031159,Innisfail,3000,Not in any Significant Urban Area (Qld),52.9831285528
306031160,Johnstone,3000,Not in any Significant Urban Area (Qld),1294.4033393871
306031161,Tully,3000,Not in any Significant Urban Area (Qld),3062.6569007384
306031162,Wooroonooran,3000,Not in any Significant Urban Area (Qld),753.2279849386
306031163,Yarrabah,3000,Not in any Significant Urban Area (Qld),158.8434326876
306041164,Daintree,3000,Not in any Significant Urban Area (Qld),2230.9320708750
306041165,Port Douglas,3000,Not in any Significant Urban Area (Qld),189.6373368453
306051166,Atherton,3000,Not in any Significant Urban Area (Qld),235.3989683899
306051167,Herberton,3000,Not in any Significant Urban Area (Qld),9577.0083180532
306051168,Kuranda,3000,Not in any Significant Urban Area (Qld),591.8996246304
306051169,Malanda - Yungaburra,3000,Not in any Significant Urban Area (Qld),1255.4641026586
306051170,Mareeba,3000,Not in any Significant Urban Area (Qld),479.4516882139
307011171,Balonne,3000,Not in any Significant Urban Area (Qld),31106.1836784676
307011172,Chinchilla,3000,Not in any Significant Urban Area (Qld),8049.3578192006
307011173,Goondiwindi,3000,Not in any Significant Urban Area (Qld),832.3379989499
307011174,Inglewood - Waggamba,3000,Not in any Significant Urban Area (Qld),17511.4819388106
307011175,Miles - Wandoan,3000,Not in any Significant Urban Area (Qld),11840.2469183333
307011176,Roma,3000,Not in any Significant Urban Area (Qld),77.7338771359
307011177,Roma Region,3000,Not in any Significant Urban Area (Qld),58633.6282494016
307011178,Tara,3000,Not in any Significant Urban Area (Qld),13207.8004523610
307021179,Crows Nest - Rosalie,3000,Not in any Significant Urban Area (Qld),3250.6311926618
307021180,Jondaryan,3000,Not in any Significant Urban Area (Qld),2130.2948078428
307021181,Millmerran,3000,Not in any Significant Urban Area (Qld),4518.3051692787
307021182,Pittsworth,3000,Not in any Significant Urban Area (Qld),1054.9772045271
307021183,Wambo,3000,Not in any Significant Urban Area (Qld),5701.9938352846
307031184,Clifton - Greenmount,3000,Not in any Significant Urban Area (Qld),1263.7706409118
307031185,Southern Downs - East,3000,Not in any Significant Urban Area (Qld),1634.2655848102
307031186,Southern Downs - West,3000,Not in any Significant Urban Area (Qld),2686.4312881601
307031187,Stanthorpe,3000,Not in any Significant Urban Area (Qld),33.5991161276
307031188,Stanthorpe Region,3000,Not in any Significant Urban Area (Qld),2660.4867810506
307031189,Warwick,3017,Warwick,159.1495451609
308011190,Central Highlands - East,3000,Not in any Significant Urban Area (Qld),18637.3606004749
308011191,Central Highlands - West,3000,Not in any Significant Urban Area (Qld),41548.5811297615
308011192,Emerald,3004,Emerald,39.2253193715
308021193,Agnes Water - Miriam Vale,3000,Not in any Significant Urban Area (Qld),3769.1551714181
308021194,Banana,3000,Not in any Significant Urban Area (Qld),28527.0485791812
308021195,Biloela,3000,Not in any Significant Urban Area (Qld),19.2829537844
308021196,Boyne Island - Tannum Sands,3005,Gladstone - Tannum Sands,122.2951112128
308021197,Callemondah,3005,Gladstone - Tannum Sands,30.5712732514
308021198,Clinton - New Auckland,3005,Gladstone - Tannum Sands,23.1135074473
308021199,Gladstone,3005,Gladstone - Tannum Sands,10.1419542198
308021200,Gladstone Hinterland,3000,Not in any Significant Urban Area (Qld),6456.3743767062
308021201,Kin Kora - Sun Valley,3005,Gladstone - Tannum Sands,2.6850830411
308021202,South Trees,3005,Gladstone - Tannum Sands,20.8241436924
308021203,Telina - Toolooa,3005,Gladstone - Tannum Sands,23.3614112286
308021204,West Gladstone,3005,Gladstone - Tannum Sands,7.2119520042
308031205,Berserker,3013,Rockhampton,10.0203275366
308031206,Bouldercombe,3000,Not in any Significant Urban Area (Qld),1338.6997775786
308031207,Emu Park,3000,Not in any Significant Urban Area (Qld),40.8379702239
308031208,Frenchville - Mount Archer,3013,Rockhampton,30.1745936572
308031209,Glenlee - Rockyview,3013,Rockhampton,208.0326271179
308031210,Gracemere,3013,Rockhampton,154.1488936001
308031211,Lakes Creek,3013,Rockhampton,16.8070350940
308031212,Mount Morgan,3000,Not in any Significant Urban Area (Qld),490.6775974915
308031213,Norman Gardens,3013,Rockhampton,36.1445577014
308031214,Park Avenue,3013,Rockhampton,4.9621376183
308031215,Parkhurst - Kawana,3013,Rockhampton,28.4262363044
308031216,Rockhampton - West,3013,Rockhampton,34.5347410928
308031217,Rockhampton City,3013,Rockhampton,51.2083766632
308031218,Rockhampton Region - East,3000,Not in any Significant Urban Area (Qld),680.1701630908
308031219,Rockhampton Region - North,3000,Not in any Significant Urban Area (Qld),7566.8876345945
308031220,Rockhampton Region - West,3000,Not in any Significant Urban Area (Qld),4358.9946805943
308031221,Shoalwater Bay,3000,Not in any Significant Urban Area (Qld),3176.9628651632
308031222,The Range - Allenstown,3013,Rockhampton,5.4957094767
308031223,Yeppoon,3018,Yeppoon,78.5554331097
309011224,Broadbeach Waters,3006,Gold Coast - Tweed Heads,5.3152887437
309011225,Burleigh Heads,3006,Gold Coast - Tweed Heads,8.4782980729
309011226,Burleigh Waters,3006,Gold Coast - Tweed Heads,6.7416394326
309011227,Mermaid Beach - Broadbeach,3006,Gold Coast - Tweed Heads,2.9987010410
309011228,Mermaid Waters,3006,Gold Coast - Tweed Heads,7.0612547880
309011229,Miami,3006,Gold Coast - Tweed Heads,2.9974307486
309021230,Coolangatta,3006,Gold Coast - Tweed Heads,1.8886062821
309021231,Currumbin - Tugun,3006,Gold Coast - Tweed Heads,7.9069091492
309021232,Currumbin Waters,3006,Gold Coast - Tweed Heads,9.9175578345
309021233,Elanora,3006,Gold Coast - Tweed Heads,8.8761858381
309021234,Palm Beach,3006,Gold Coast - Tweed Heads,6.3062036161
309031235,Arundel,3006,Gold Coast - Tweed Heads,9.6955640886
309031236,Biggera Waters,3006,Gold Coast - Tweed Heads,3.1725534730
309031237,Coombabah,3006,Gold Coast - Tweed Heads,11.6368701161
309031238,Labrador,3006,Gold Coast - Tweed Heads,4.9705043361
309031239,Paradise Point - Hollywell,3006,Gold Coast - Tweed Heads,5.6056519841
309031240,Runaway Bay,3006,Gold Coast - Tweed Heads,5.4925429177
309041241,Guanaba - Springbrook,3000,Not in any Significant Urban Area (Qld),303.8132488147
309041242,Tamborine - Canungra,3000,Not in any Significant Urban Area (Qld),524.1621407666
309051243,Currumbin Valley - Tallebudgera,3006,Gold Coast - Tweed Heads,114.5311924253
309051244,Mudgeeraba - Bonogin,3006,Gold Coast - Tweed Heads,66.6965531075
309051245,Reedy Creek - Andrews,3006,Gold Coast - Tweed Heads,8.0852711487
309061246,Carrara,3006,Gold Coast - Tweed Heads,14.6039910283
309061247,Highland Park,3006,Gold Coast - Tweed Heads,4.6560260075
309061248,Nerang - Mount Nathan,3006,Gold Coast - Tweed Heads,61.2293685936
309061249,Pacific Pines - Gaven,3006,Gold Coast - Tweed Heads,16.4657010187
309061250,Worongary - Tallai,3006,Gold Coast - Tweed Heads,26.1820035797
309071251,Coomera,3006,Gold Coast - Tweed Heads,24.3645562765
309071252,Helensvale,3006,Gold Coast - Tweed Heads,19.9036515957
309071253,Hope Island,3006,Gold Coast - Tweed Heads,54.8542639613
309071254,Jacobs Well - Alberton,3006,Gold Coast - Tweed Heads,153.7239896083
309071255,Ormeau - Yatala,3006,Gold Coast - Tweed Heads,72.0875615968
309071256,Oxenford - Maudsland,3006,Gold Coast - Tweed Heads,26.9544014318
309071257,Pimpama,3006,Gold Coast - Tweed Heads,40.4743853964
309071258,Upper Coomera - Willow Vale,3006,Gold Coast - Tweed Heads,125.9938932532
309081259,Clear Island Waters,3006,Gold Coast - Tweed Heads,4.3892229335
309081260,Merrimac,3006,Gold Coast - Tweed Heads,8.3127626195
309081261,Robina,3006,Gold Coast - Tweed Heads,14.9565766823
309081262,Varsity Lakes,3006,Gold Coast - Tweed Heads,5.9663364653
309091263,Ashmore,3006,Gold Coast - Tweed Heads,6.7652822106
309091264,Molendinar,3006,Gold Coast - Tweed Heads,7.6994964317
309091265,Parkwood,3006,Gold Coast - Tweed Heads,6.2182347842
309091266,Southport,3006,Gold Coast - Tweed Heads,14.2628056457
309101267,Benowa,3006,Gold Coast - Tweed Heads,6.5514140999
309101268,Bundall,3006,Gold Coast - Tweed Heads,3.8951524527
309101269,Main Beach,3006,Gold Coast - Tweed Heads,3.1726121215
309101270,Surfers Paradise,3006,Gold Coast - Tweed Heads,5.8100710710
310011271,Darra - Sumner,3001,Brisbane,8.0022947886
310011272,Durack,3001,Brisbane,4.4524412262
310011273,Forest Lake - Doolandella,3001,Brisbane,15.0626924378
310011274,Inala - Richlands,3001,Brisbane,10.8813089370
310011275,Oxley (Qld),3001,Brisbane,6.8905185152
310011276,Wacol,3001,Brisbane,18.5134756189
310021277,Boonah,3000,Not in any Significant Urban Area (Qld),2095.4127488624
310021278,Esk,3000,Not in any Significant Urban Area (Qld),1889.9796752905
310021279,Lake Manchester - England Creek,3000,Not in any Significant Urban Area (Qld),112.7060046581
310021280,Lockyer Valley - East,3000,Not in any Significant Urban Area (Qld),741.3404964434
310021281,Lowood,3000,Not in any Significant Urban Area (Qld),617.7602526318
310021282,Rosewood,3001,Brisbane,678.4318826873
310031283,Brassall,3001,Brisbane,8.2432031100
310031284,Bundamba,3001,Brisbane,17.2424655527
310031285,Churchill - Yamanto,3001,Brisbane,9.3658509859
310031286,Ipswich - Central,3001,Brisbane,7.8493215801
310031287,Ipswich - East,3001,Brisbane,11.4697231229
310031288,Ipswich - North,3001,Brisbane,64.9033922709
310031289,Karalee - Barellan Point,3001,Brisbane,19.4233566807
310031290,Karana Downs,3001,Brisbane,62.8123496763
310031291,Leichhardt - One Mile,3001,Brisbane,20.2089598735
310031292,North Ipswich - Tivoli,3001,Brisbane,9.5602547731
310031293,Raceview,3001,Brisbane,9.1481369872
310031294,Ripley,3001,Brisbane,130.3947300853
310031295,Riverview,3001,Brisbane,7.8473623671
310041296,Bellbird Park - Brookwater,3001,Brisbane,15.5781837964
310041297,Camira - Gailes,3001,Brisbane,9.3920885441
310041298,Carole Park,3001,Brisbane,3.9871332154
310041299,Collingwood Park - Redbank,3001,Brisbane,15.3653442698
310041300,Goodna,3001,Brisbane,7.9228403324
310041301,New Chum,3001,Brisbane,6.0316140616
310041302,Redbank Plains,3001,Brisbane,19.5149689877
310041303,Springfield,3001,Brisbane,6.6734595067
310041304,Springfield Lakes,3001,Brisbane,18.9619938617
311011305,Beaudesert,3000,Not in any Significant Urban Area (Qld),1628.4984714511
311021306,Beenleigh,3001,Brisbane,7.6738871288
311021307,Eagleby,3001,Brisbane,13.8263119761
311021308,Edens Landing - Holmview,3001,Brisbane,6.6231436727
311021309,Mount Warren Park,3001,Brisbane,4.2503329095
311021310,Wolffdene - Bahrs Scrub,3001,Brisbane,27.9169198063
311031311,Boronia Heights - Park Ridge,3001,Brisbane,31.9350569931
311031312,Browns Plains,3001,Brisbane,7.3328886769
311031313,Chambers Flat - Logan Reserve,3001,Brisbane,36.3103287445
311031314,Crestmead,3001,Brisbane,6.9675237809
311031315,Greenbank Military Camp,3001,Brisbane,40.4330095048
311031316,Hillcrest,3001,Brisbane,9.3466245423
311031317,Marsden,3001,Brisbane,6.9162654917
311031318,Munruben - Park Ridge South,3001,Brisbane,20.7495436328
311031319,Regents Park - Heritage Park,3001,Brisbane,9.3850380562
311041320,Greenbank,3001,Brisbane,258.5206083483
311041321,Jimboomba,3000,Not in any Significant Urban Area (Qld),249.6669605736
311041322,Logan Village,3001,Brisbane,74.2868851539
311051323,Bethania - Waterford,3001,Brisbane,12.6163876012
311051324,Cornubia - Carbrook,3001,Brisbane,37.5749283252
311051325,Loganholme - Tanah Merah,3001,Brisbane,13.2728513697
311051326,Loganlea,3001,Brisbane,11.2761657504
311051327,Shailer Park,3001,Brisbane,7.9764477952
311051328,Waterford West,3001,Brisbane,5.9507182212
311061329,Daisy Hill,3001,Brisbane,8.9768916378
311061330,Kingston,3001,Brisbane,6.8552327296
311061331,Logan Central,3001,Brisbane,5.1469012732
311061332,Rochedale South - Priestdale,3001,Brisbane,13.0066036193
311061333,Slacks Creek,3001,Brisbane,8.2992802750
311061334,Springwood,3001,Brisbane,6.1523030280
311061335,Underwood,3001,Brisbane,4.1921009753
311061336,Woodridge,3001,Brisbane,4.6584504557
312011337,Bowen,3000,Not in any Significant Urban Area (Qld),51.0480806260
312011338,Broadsound - Nebo,3000,Not in any Significant Urban Area (Qld),27996.7537642181
312011339,Clermont,3000,Not in any Significant Urban Area (Qld),27676.1563029084
312011340,Collinsville,3000,Not in any Significant Urban Area (Qld),21078.8833503770
312011341,Moranbah,3000,Not in any Significant Urban Area (Qld),3046.9253335687
312021342,Andergrove - Beaconsfield,3010,Mackay,17.5476422188
312021343,East Mackay,3010,Mackay,4.5418897257
312021344,Eimeo - Rural View,3010,Mackay,21.9001057680
312021345,Eungella Hinterland,3000,Not in any Significant Urban Area (Qld),2048.5935162896
312021346,Mackay,3010,Mackay,3.9566241187
312021347,Mackay Harbour,3010,Mackay,9.0603053315
312021348,Mount Pleasant - Glenella,3010,Mackay,56.4923503068
312021349,North Mackay,3010,Mackay,9.6824327422
312021350,Ooralea - Bakers Creek,3010,Mackay,46.8470355363
312021351,Pioneer Valley,3000,Not in any Significant Urban Area (Qld),1186.1241641759
312021352,Sarina,3000,Not in any Significant Urban Area (Qld),1438.3783129706
312021353,Seaforth - Calen,3000,Not in any Significant Urban Area (Qld),2095.4328952325
312021354,Shoal Point - Bucasia,3010,Mackay,16.5801638467
312021355,Slade Point,3010,Mackay,8.8931112298
312021356,South Mackay,3010,Mackay,6.8919622875
312021357,Walkerston - Eton,3000,Not in any Significant Urban Area (Qld),624.4714288038
312021358,West Mackay,3010,Mackay,5.8034559170
312031359,Airlie - Whitsundays,3000,Not in any Significant Urban Area (Qld),304.0098683065
312031360,Cape Conway,3000,Not in any Significant Urban Area (Qld),295.6150809020
312031361,Proserpine,3000,Not in any Significant Urban Area (Qld),2074.8985348134
313011362,Beachmere - Sandstone Point,3001,Brisbane,105.5824314265
313011363,Bribie Island,3001,Brisbane,141.8155808529
313021364,Burpengary - East,3001,Brisbane,26.8539230884
313021365,Caboolture,3001,Brisbane,74.4600340855
313021366,Caboolture - South,3001,Brisbane,13.7321651624
313021367,Elimbah,3001,Brisbane,100.6112624624
313021368,Morayfield - East,3001,Brisbane,8.5235925817
313021369,Wamuran,3001,Brisbane,89.3927913704
313031370,Kilcoy,3000,Not in any Significant Urban Area (Qld),2862.7610659044
313031371,Woodford - D'Aguilar,3000,Not in any Significant Urban Area (Qld),524.9533403571
313041372,Burpengary,3001,Brisbane,22.4102546100
313041373,Deception Bay,3001,Brisbane,31.2150515757
313041374,Morayfield,3001,Brisbane,24.8569611660
313041375,Narangba,3001,Brisbane,37.6823288552
313041376,Upper Caboolture,3001,Brisbane,55.7876985525
313051377,Clontarf,3001,Brisbane,6.1961320954
313051378,Margate - Woody Point,3001,Brisbane,4.2769397838
313051379,Redcliffe,3001,Brisbane,4.1837958631
313051380,Rothwell - Kippa-Ring,3001,Brisbane,15.4578253868
313051381,Scarborough - Newport,3001,Brisbane,7.9607421232
314011382,Albany Creek,3001,Brisbane,9.8523500374
314011383,Cashmere,3001,Brisbane,45.2388886377
314011384,Dayboro,3001,Brisbane,406.8709373383
314011385,Eatons Hill,3001,Brisbane,9.0924773269
314011386,Hills District,3001,Brisbane,31.6586838523
314011387,Samford Valley,3001,Brisbane,166.0486905039
314021388,Dakabin - Kallangur,3001,Brisbane,16.5858369255
314021389,Murrumba Downs - Griffin,3001,Brisbane,22.4442933537
314021390,North Lakes - Mango Hill,3001,Brisbane,27.2057413454
314031391,Bray Park,3001,Brisbane,4.5101472858
314031392,Lawnton,3001,Brisbane,9.2608376220
314031393,Petrie,3001,Brisbane,6.7047037142
314031394,Strathpine - Brendale,3001,Brisbane,17.8146872283
315011395,Aurukun,3000,Not in any Significant Urban Area (Qld),7347.2077090418
315011396,Cape York,3000,Not in any Significant Urban Area (Qld),113022.6922832250
315011397,Croydon - Etheridge,3000,Not in any Significant Urban Area (Qld),68688.1124390882
315011398,Kowanyama - Pormpuraaw,3000,Not in any Significant Urban Area (Qld),6972.0090707814
315011399,Northern Peninsula,3000,Not in any Significant Urban Area (Qld),1056.9140937894
315011400,Tablelands,3000,Not in any Significant Urban Area (Qld),52401.4604649753
315011401,Torres,3000,Not in any Significant Urban Area (Qld),882.7102157267
315011402,Torres Strait Islands,3000,Not in any Significant Urban Area (Qld),489.2415579316
315011403,Weipa,3000,Not in any Significant Urban Area (Qld),16.1612676275
315021404,Carpentaria,3000,Not in any Significant Urban Area (Qld),114279.0437214850
315021405,Mount Isa,3012,Mount Isa,62.7539896534
315021406,Mount Isa Region,3000,Not in any Significant Urban Area (Qld),84072.8433397753
315021407,Northern Highlands,3000,Not in any Significant Urban Area (Qld),108506.5975113630
315031408,Barcaldine - Blackall,3000,Not in any Significant Urban Area (Qld),83909.7314988436
315031409,Charleville,3000,Not in any Significant Urban Area (Qld),40698.4903414114
315031410,Far Central West,3000,Not in any Significant Urban Area (Qld),271262.0589779790
315031411,Far South West,3000,Not in any Significant Urban Area (Qld),188802.5194926730
315031412,Longreach,3000,Not in any Significant Urban Area (Qld),40571.7056728983
316011413,Buderim - North,3014,Sunshine Coast,23.9913607380
316011414,Buderim - South,3014,Sunshine Coast,30.1265661653
316011415,Mountain Creek,3014,Sunshine Coast,7.3573619974
316011416,Sippy Downs,3014,Sunshine Coast,14.6896711358
316021417,Aroona - Currimundi,3014,Sunshine Coast,5.5384077827
316021418,Buddina - Minyama,3014,Sunshine Coast,4.0173839259
316021419,Caloundra - Kings Beach,3014,Sunshine Coast,3.9766139269
316021420,Caloundra - West,3014,Sunshine Coast,71.6918771634
316021421,Golden Beach - Pelican Waters,3014,Sunshine Coast,10.3862274677
316021422,Moffat Beach - Battery Hill,3014,Sunshine Coast,3.8870576227
316021423,Parrearra - Warana,3014,Sunshine Coast,6.8828614161
316021424,Wurtulla - Birtinya,3014,Sunshine Coast,6.5879653738
316031425,Coolum Beach,3014,Sunshine Coast,18.1365790875
316031426,Marcoola - Mudjimba,3014,Sunshine Coast,32.9432403101
316031427,Maroochydore - Kuluin,3014,Sunshine Coast,13.9590579494
316031428,Mooloolaba - Alexandra Headland,3014,Sunshine Coast,5.6327392026
316041429,Bli Bli,3014,Sunshine Coast,44.7693368035
316041430,Diddillibah - Rosemount,3014,Sunshine Coast,31.2422589058
316041431,Eumundi - Yandina,3014,Sunshine Coast,215.7055584729
316041432,Nambour,3014,Sunshine Coast,54.0245513970
316041433,Noosa Hinterland,3014,Sunshine Coast,820.0754331379
316051434,Noosa Heads,3014,Sunshine Coast,12.8813445067
316051435,Noosaville,3014,Sunshine Coast,26.6421413082
316051436,Peregian,3014,Sunshine Coast,19.7309213837
316051437,Sunshine Beach,3014,Sunshine Coast,7.1918983485
316051438,Tewantin,3014,Sunshine Coast,25.6970185799
316061439,Beerwah,3000,Not in any Significant Urban Area (Qld),148.2234745666
316061440,Caloundra Hinterland,3000,Not in any Significant Urban Area (Qld),458.8333716417
316061441,Glass House Mountains,3000,Not in any Significant Urban Area (Qld),184.1451839898
316061442,Landsborough,3000,Not in any Significant Urban Area (Qld),134.1929084138
316061443,Maroochy Hinterland,3000,Not in any Significant Urban Area (Qld),526.3708227028
316061444,Palmwoods,3014,Sunshine Coast,115.2295185921
317011445,Cambooya - Wyreema,3015,Toowoomba,227.3200126837
317011446,Darling Heights,3015,Toowoomba,12.5307283763
317011447,Drayton - Harristown,3015,Toowoomba,16.3061468798
317011448,Gatton,3000,Not in any Significant Urban Area (Qld),49.9326606713
317011449,Gowrie (Qld),3009,Highfields,80.7868901533
317011450,Highfields,3009,Highfields,149.3694498279
317011451,Lockyer Valley - West,3000,Not in any Significant Urban Area (Qld),1480.2476616644
317011452,Middle Ridge,3015,Toowoomba,8.6805665797
317011453,Newtown (Qld),3015,Toowoomba,5.5365506236
317011454,North Toowoomba - Harlaxton,3015,Toowoomba,10.3063964490
317011455,Rangeville,3015,Toowoomba,8.2518954837
317011456,Toowoomba - Central,3015,Toowoomba,9.5176679798
317011457,Toowoomba - East,3015,Toowoomba,19.4159793144
317011458,Toowoomba - West,3015,Toowoomba,161.2967183756
317011459,Wilsonton,3015,Toowoomba,18.9564452360
318011460,Ayr,3000,Not in any Significant Urban Area (Qld),68.9557408338
318011461,Burdekin,3000,Not in any Significant Urban Area (Qld),4879.5833975386
318011462,Charters Towers,3000,Not in any Significant Urban Area (Qld),41.7127391632
318011463,Dalrymple,3000,Not in any Significant Urban Area (Qld),68331.7639941557
318011464,Ingham,3000,Not in any Significant Urban Area (Qld),41.6199968077
318011465,Ingham Region,3000,Not in any Significant Urban Area (Qld),2759.7271343582
318011466,Palm Island,3000,Not in any Significant Urban Area (Qld),70.6336217521
318021467,Aitkenvale,3016,Townsville,3.2893095969
318021468,Annandale,3016,Townsville,17.8946472152
318021469,Belgian Gardens - Pallarenda,3016,Townsville,38.8605727123
318021470,Bohle Plains,3016,Townsville,100.0761818733
318021471,Condon - Rasmussen,3016,Townsville,46.3438369261
318021472,Cranbrook,3016,Townsville,3.3645585851
318021473,Deeragun,3016,Townsville,65.8884098498
318021474,Douglas,3016,Townsville,78.9530186283
318021475,Garbutt - West End,3016,Townsville,17.0245268235
318021476,Gulliver - Currajong - Vincent,3016,Townsville,4.9374489860
318021477,Heatley,3016,Townsville,2.0314608907
318021478,Hermit Park - Rosslea,3016,Townsville,3.8744679968
318021479,Hyde Park - Pimlico,3016,Townsville,3.1979493433
318021480,Kelso,3016,Townsville,170.3427204251
318021481,Kirwan - East,3016,Townsville,3.5260382768
318021482,Kirwan - West,3016,Townsville,9.4799287256
318021483,Magnetic Island,3000,Not in any Significant Urban Area (Qld),51.1031586516
318021484,Mount Louisa,3016,Townsville,31.9096469056
318021485,Mundingburra,3016,Townsville,2.5886839553
318021486,Northern Beaches,3000,Not in any Significant Urban Area (Qld),1007.3606164928
318021487,Oonoonba,3016,Townsville,9.1070616547
318021488,South Townsville - Railway Estate,3016,Townsville,8.5398420076
318021489,Townsville - South,3000,Not in any Significant Urban Area (Qld),2067.6424987146
318021490,Townsville City - North Ward,3016,Townsville,6.6205486057
318021491,Wulguru - Roseneath,3016,Townsville,68.3038143781
319011492,Ashfield - Kepnock,3002,Bundaberg,8.0821685228
319011493,Bargara - Burnett Heads,3002,Bundaberg,143.9487958923
319011494,Branyan - Kensington,3002,Bundaberg,50.4028693592
319011495,Bundaberg,3002,Bundaberg,6.1221277802
319011496,Bundaberg East - Kalkie,3002,Bundaberg,13.7449024908
319011497,Bundaberg North - Gooburrum,3002,Bundaberg,55.0045395735
319011498,Bundaberg Region - North,3000,Not in any Significant Urban Area (Qld),1273.2975020463
319011499,Bundaberg Region - South,3000,Not in any Significant Urban Area (Qld),2210.6143870562
319011500,Millbank - Avoca,3002,Bundaberg,9.5464347493
319011501,Svensson Heights - Norville,3002,Bundaberg,6.3983772189
319011502,Walkervale - Avenell Heights,3002,Bundaberg,12.4656566997
319021503,Gayndah - Mundubbera,3000,Not in any Significant Urban Area (Qld),8508.7731229330
319021504,Gin Gin,3000,Not in any Significant Urban Area (Qld),2355.1677838680
319021505,Kingaroy,3000,Not in any Significant Urban Area (Qld),70.1867565286
319021506,Kingaroy Region - North,3000,Not in any Significant Urban Area (Qld),4333.4021127760
319021507,Kingaroy Region - South,3000,Not in any Significant Urban Area (Qld),2369.7003132680
319021508,Monto - Eidsvold,3000,Not in any Significant Urban Area (Qld),11157.9962232265
319021509,Nanango,3000,Not in any Significant Urban Area (Qld),1648.8415388405
319021510,North Burnett,3000,Not in any Significant Urban Area (Qld),290.9043861518
319031511,Cooloola,3000,Not in any Significant Urban Area (Qld),1141.2818613274
319031512,Gympie - North,3007,Gympie,42.5921164532
319031513,Gympie - South,3007,Gympie,26.7097714383
319031514,Gympie Region,3000,Not in any Significant Urban Area (Qld),2552.0718796243
319031515,Kilkivan,3000,Not in any Significant Urban Area (Qld),3214.6338716576
319041516,Booral - River Heads,3000,Not in any Significant Urban Area (Qld),158.3409495048
319041517,Craignish - Dundowran Beach,3008,Hervey Bay,35.6098207420
319041518,Pialba - Eli Waters,3008,Hervey Bay,18.7205824663
319041519,Point Vernon,3008,Hervey Bay,4.8202497011
319041520,Torquay - Scarness - Kawungan,3008,Hervey Bay,10.9448389052
319041521,Urangan - Wondunna,3008,Hervey Bay,23.0613026251
319051522,Burrum - Fraser,3000,Not in any Significant Urban Area (Qld),2756.7798646319
319051523,Granville,3011,Maryborough,49.0822240336
319051524,Maryborough (Qld),3011,Maryborough,84.2489365074
319051525,Maryborough Region - South,3000,Not in any Significant Urban Area (Qld),3821.9183853943
319051526,Tinana,3011,Maryborough,37.3962171599
397979799,Migratory - Offshore - Shipping (Qld),3000,Not in any Significant Urban Area (Qld),
399999499,No usual address (Qld),3000,Not in any Significant Urban Area (Qld),
401011001,Adelaide,4001,Adelaide,10.4818525318
401011002,North Adelaide,4001,Adelaide,5.0905111145
401021003,Adelaide Hills,4000,Not in any Significant Urban Area (SA),364.4421499704
401021004,Aldgate - Stirling,4001,Adelaide,117.2138465972
401021005,Hahndorf - Echunga,4001,Adelaide,110.1528842876
401021006,Lobethal - Woodside,4001,Adelaide,202.4942905352
401021007,Mount Barker,4001,Adelaide,54.1042697298
