SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
210051244,Craigieburn - Mickleham,2011,Melbourne,106.0715145110
210051245,Gladstone Park - Westmeadows,2011,Melbourne,13.9369904185
210051246,Greenvale - Bulla,2011,Melbourne,95.8150754656
210051247,Meadow Heights,2011,Melbourne,4.6252913308
210051248,Melbourne Airport,2011,Melbourne,30.3848682767
210051249,Roxburgh Park - Somerton,2011,Melbourne,12.3813698405
210051250,Tullamarine,2011,Melbourne,3.8595720221
211011251,Bayswater,2011,Melbourne,8.0436692182
211011252,Boronia - The Basin,2011,Melbourne,16.9796069390
211011253,Ferntree Gully,2011,Melbourne,16.1987446273
211011254,Knoxfield - Scoresby,2011,Melbourne,15.1841798656
211011255,Lysterfield,2011,Melbourne,18.4937469772
211011256,Rowville - Central,2011,Melbourne,8.2003503577
211011257,Rowville - North,2011,Melbourne,4.1684935639
211011258,Rowville - South,2011,Melbourne,9.2791629900
211011259,Wantirna,2011,Melbourne,8.3063458345
211011260,Wantirna South,2011,Melbourne,13.3616270494
211021261,Donvale - Park Orchards,2011,Melbourne,20.8026712477
211021262,Warrandyte - Wonga Park,2011,Melbourne,45.7593234495
211031263,Bayswater North,2011,Melbourne,9.9093352894
211031264,Croydon,2011,Melbourne,17.7470099509
211031265,Croydon Hills - Warranwood,2011,Melbourne,9.4922884776
211031266,Ringwood,2011,Melbourne,9.9161309279
211031267,Ringwood East,2011,Melbourne,9.3932921173
211031268,Ringwood North,2011,Melbourne,4.7308972736
211041269,Forest Hill,2011,Melbourne,4.0705192977
211041270,Mitcham (Vic.),2011,Melbourne,6.6270410852
211041271,Nunawading,2011,Melbourne,5.0782120632
211041272,Vermont,2011,Melbourne,4.6094759835
211041273,Vermont South,2011,Melbourne,6.1839872514
211051274,Belgrave - Selby,2011,Melbourne,55.6348515934
211051275,Chirnside Park,2011,Melbourne,22.2026618282
211051276,Healesville - Yarra Glen,2000,Not in any Significant Urban Area (Vic.),369.5242484636
211051277,Kilsyth,2011,Melbourne,8.2421556345
211051278,Lilydale - Coldstream,2011,Melbourne,109.3815331629
211051279,Monbulk - Silvan,2011,Melbourne,68.5554240703
211051280,Montrose,2011,Melbourne,10.5432351030
211051281,Mooroolbark,2011,Melbourne,12.5439037380
211051282,Mount Dandenong - Olinda,2011,Melbourne,81.8996793773
211051283,Mount Evelyn,2011,Melbourne,16.9897618177
211051284,Upwey - Tecoma,2011,Melbourne,8.8912154091
211051285,Wandin - Seville,2011,Melbourne,111.7346739361
211051286,Yarra Valley,2011,Melbourne,728.8007586056
212011287,Beaconsfield - Officer,2011,Melbourne,41.7239235628
212011288,Bunyip - Garfield,2000,Not in any Significant Urban Area (Vic.),373.1108150525
212011289,Emerald - Cockatoo,2011,Melbourne,370.6838397897
